_id,State,Constituency,Party,Candidate Name,,,,
3564,Maharashtra,Bhandara Gondiya,Independent,AJAYKUMAR BHARTIYA,,,,
3565,Maharashtra,Bhandara Gondiya,Independent,SUMIT VIJAY PANDE,,,,
3566,Maharashtra,Bhandara Gondiya,Independent,VIRENDRAKUMAR KASTURCHAND JAISWAL,,,,
3567,Maharashtra,Bhandara Gondiya,Independent,VILAS JIYALAL RAUT,,,,
3568,Maharashtra,Bhandara Gondiya,Independent,DR. AKASH MADHUKAR JIBHAKATE,,,,
3569,Maharashtra,Gadchiroli - Chimur,Independent,KODAPE VILAS SHAMARAO,,,,
3570,Maharashtra,Gadchiroli - Chimur,Independent,BARIKRAO DHARMAJI MADAVI,,,,
3571,Maharashtra,Gadchiroli - Chimur,Indian National Congress,DR. KIRSAN  NAMDEO,,,,
3572,Maharashtra,Gadchiroli - Chimur,Bharatiya Janata Party,ASHOK  MAHADEORAO NETE,,,,
3573,Maharashtra,Gadchiroli - Chimur,Bhim Sena,SUHAS UMESH KUMRE,,,,
3574,Maharashtra,Gadchiroli - Chimur,Independent,KARAN SURESH SAYAM,,,,
3575,Maharashtra,Gadchiroli - Chimur,Bahujan Samaj Party,GONNADE  YOGESH  NAMDEORAO,,,,
3576,Maharashtra,Gadchiroli - Chimur,Vanchit Bahujan  Aaghadi,HITESH PANDURANG MADAVI,,,,
3577,Maharashtra,Gadchiroli - Chimur,Janseva Gondwana Party,DHIRAJ PURUSHOTTAM SHEDMAKE,,,,
3578,Maharashtra,Gadchiroli - Chimur,Bahujan Republican  Socialist Party,BARIKRAO DHARMAJI MADAVI,,,,
3579,Maharashtra,Gadchiroli - Chimur,Independent,VINOD GURUDAS MADAVI,,,,
3580,Maharashtra,Chandrapur,Independent,DIWAKAR HARIJI URADE,,,,
3581,Maharashtra,Chandrapur,Independent,SANJAY NILKANTH GAWANDE,,,,
3582,Maharashtra,Chandrapur,Sanman Rajkiya Paksha,VIKAS UTTAMRAO LASANTE,,,,
3583,Maharashtra,Chandrapur,Akhil Bharatiya Manavata Paksha,VANITA JITENDRA RAUT,,,,
3584,Maharashtra,Chandrapur,Gondvana Gantantra Party,NAMDEO MANIKRAO SHEDMAKE,,,,
3585,Maharashtra,Chandrapur,Bahujan Samaj Party,RAJENDRA HARISHCHANDRA RAMTEKE,,,,
3586,Maharashtra,Chandrapur,Bhim Sena,VIDYASAGAR KALIDAS KASARLAWAR,,,,
3587,Maharashtra,Chandrapur,Peoples Party of India (Democratic),SEWAKDAS KAWDUJI BARKE,,,,
3588,Maharashtra,Chandrapur,Vanchit Bahujan  Aaghadi,BELE RAJESH WARLUJI,,,,
3589,Maharashtra,Chandrapur,Independent,MILIND PRALHAD DAHIWALE,,,,
3590,Maharashtra,Chandrapur,Bahujan Republican  Socialist Party,PURNIMA DILIP GHONMODE,,,,
3591,Maharashtra,Chandrapur,Jay Vidarbha Party,ASHOK RANAJI RATHOD,,,,
3592,Maharashtra,Chandrapur,Bharatiya Janata Party,MUNGANTIWAR SUDHIR SACCHIDANAND,,,,
3593,Maharashtra,Chandrapur,Indian National Congress,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,,,,
3594,Maharashtra,Chandrapur,Janseva Gondwana Party,AWACHIT SHAMRAO SAYAM,,,,
3595,Maharashtra,Yavatmal- Washim,Peoples Party of India (Democratic),UTTAM ONKAR INGOLE,,,,
3596,Maharashtra,Yavatmal- Washim,Independent,NUR ALI MAHEBUB ALI SHAH,,,,
3597,Maharashtra,Yavatmal- Washim,Independent,DIKSHANT NAMDEVRAO SAWAIKAR,,,,
3598,Maharashtra,Yavatmal- Washim,Independent,RAMDAS BAJIRAO GHODAM,,,,
3599,Maharashtra,Yavatmal- Washim,Bahujan Samaj Party,HARISING (HARIBHAU) NASARU RATHOD,,,,
3600,Maharashtra,Yavatmal- Washim,Hindrashtra Sangh,AMOL KOMAWAR,,,,
3601,Maharashtra,Yavatmal- Washim,Independent,PRO KISAN RAMRAO AMBURE,,,,
3602,Maharashtra,Yavatmal- Washim,Independent,GOKUL PREMDAS CHAVHAN,,,,
3603,Maharashtra,Yavatmal- Washim,Independent,DR ARJUNKUMAR SITARAM RATHOD,,,,
3604,Maharashtra,Yavatmal- Washim,Shiv Sena,RAJSHRITAI HEMANT PATIL (MAHALLE),,,,
3605,Maharashtra,Yavatmal- Washim,Independent,VINOD PANJABRAO NANDAGAVALI,,,,
3606,Maharashtra,Yavatmal- Washim,Independent,SANGITA DINESH CHAVHAN,,,,
3607,Maharashtra,Yavatmal- Washim,Sanman Rajkiya Paksha,DHARAM DILIPSING THAKUR,,,,
3608,Maharashtra,Yavatmal- Washim,ShivSena (Uddhav Balasaheb Thackeray),SANJAY UTTAMRAO DESHMUKH,,,,
3609,Maharashtra,Yavatmal- Washim,Independent,MANOJ MAHADEORAO GEDAM,,,,
3610,Maharashtra,Yavatmal- Washim,Independent,SANDIP SAMPAT SHINDE,,,,
3611,Maharashtra,Yavatmal- Washim,Samnak Janta Party,ANIL JAYRAM RATHOD,,,,
3612,Maharashtra,Hingoli,Bahujan Mukti Party,DEVSARKAR VARSHA SHIVAJIRAO,,,,
3613,Maharashtra,Hingoli,Independent,SATTAR PATHAN,,,,
3614,Maharashtra,Hingoli,Bhim Sena,SUNIL DASHARATH INGOLE,,,,
3615,Maharashtra,Hingoli,Independent,AMBADAS SUKAJI GADE,,,,
3616,Maharashtra,Hingoli,Independent,MAHESH KAILAS NAPTE,,,,
3617,Maharashtra,Hingoli,Independent,SUNIL MOTIRAM GAJBHAR,,,,
3618,Maharashtra,Hingoli,Independent,BABURAO ANANDRAO KADAM,,,,
3619,Maharashtra,Hingoli,Communist Party of India  (Marxist),VIJAY RAMJI GABHANE,,,,
3620,Maharashtra,Hingoli,Independent,DEWJI GANGARAM ASOLE,,,,
3621,Maharashtra,Hingoli,Independent,DATTA SHRIKRISHNA SURYAWANSHI,,,,
3622,Maharashtra,Hingoli,Independent,VIJAY DNYANBA RAUT,,,,
3623,Maharashtra,Hingoli,Independent,BHAWAR GOVINDRAO FULAJI,,,,
3624,Maharashtra,Hingoli,Independent,SARJERAO NIVRUTTI KHANDARE,,,,
3625,Maharashtra,Hingoli,Vanchit Bahujan  Aaghadi,DR. B. D. CHAVHAN,,,,
3626,Maharashtra,Hingoli,Independent,ADV. RAMRAO ATMARAM JUMBADE,,,,
3627,Maharashtra,Hingoli,Republican Party of India (A),PRAKASH MASARAM RANVIR,,,,
3628,Maharashtra,Hingoli,Bahujan Samaj Party  (Ambedkar),TRISHALA MILIND KAMBLE,,,,
3629,Maharashtra,Hingoli,Independent,RAMPRASAD NARAYAN BANGAR,,,,
3630,Maharashtra,Hingoli,Independent,ADV. SHIVAJIRAO JADHAV,,,,
3631,Maharashtra,Hingoli,Independent,VISHVANATH BHAURAO FALEGAONKAR,,,,
3632,Maharashtra,Hingoli,Independent,A. KADIR MASTAN SAYYED (GOREGAONKAR),,,,
3633,Maharashtra,Hingoli,Bahujan Samaj Party,GAJANAN DHONDBA DAL,,,,
3634,Maharashtra,Hingoli,Rashtriya Kisan Bahujan Party,HEMANT RADHAKISHAN KANAKE,,,,
3635,Maharashtra,Hingoli,Shiv Sena,BABURAO KADAM KOHALIKAR,,,,
3636,Maharashtra,Hingoli,Independent,ANAND RAJARAM DHULE,,,,
3637,Maharashtra,Hingoli,Independent,ASHOK PANDURANG RATHOD,,,,
3638,Maharashtra,Hingoli,Indian National League,ADV ALTAF AHMED,,,,
3639,Maharashtra,Hingoli,Akhil Bhartiya Parivar Party,ANIL DEVRAO MOHITE,,,,
3640,Maharashtra,Hingoli,Independent,ADV RAVI SHINDE,,,,
3641,Maharashtra,Hingoli,ShivSena (Uddhav Balasaheb Thackeray),AASHTIKAR PATIL NAGESH BAPURAO,,,,
3642,Maharashtra,Hingoli,Independent,VASANT KISAN PAIKRAO,,,,
3643,Maharashtra,Hingoli,Samnak Janta Party,DESHA SHYAM BANJARA,,,,
3644,Maharashtra,Hingoli,Abhinav Bharat Janseva Paksh,RAVI RAMDAS JADHAV (SAWANEKAR),,,,
3645,Maharashtra,Nanded,Independent,NIKHIL LAXMANRAO GARJE,,,,
3646,Maharashtra,Nanded,Bahujan Samaj Party,PANDURANG RAMA ADGULWAR,,,,
3647,Maharashtra,Nanded,Independent,NAGESH SAMBHAJI GAIKWAD,,,,
3648,Maharashtra,Nanded,Samnak Janta Party,SUSHILA NILKANTHRAO PAWAR,,,,
3649,Maharashtra,Nanded,Bahujan Mukti Party,RAHUL SURYAKANT YANGADE,,,,
3650,Maharashtra,Nanded,Independent,GAJANAN DATTRAMJI DHUMAL,,,,
3651,Maharashtra,Nanded,Independent,BHASKAR CHAMPATRAO DOIFODE,,,,
3652,Maharashtra,Nanded,Independent,DEVIDAS GOVINDRAO INGLE,,,,
3653,Maharashtra,Nanded,Independent,AVINASH VISHWANATH BHOSIKAR,,,,
3654,Maharashtra,Nanded,Vanchit Bahujan  Aaghadi,AVINASH VISHWANATH BHOSIKAR,,,,
3655,Maharashtra,Nanded,Indian National League,KAUSAR SULTANA,,,,
3656,Maharashtra,Nanded,Bharatiya Janata Party,CHIKHALIKAR PRATAPRAO GOVINDRAO,,,,
3657,Maharashtra,Nanded,Independent,RATHOD SURESH GOPINATH,,,,
3658,Maharashtra,Nanded,Desh Janhit Party,ABDUL RAIS AHEMAD,,,,
3659,Maharashtra,Nanded,Bharatiya Praja Surajya Paksha,RUKMINBAI SHANKARRAO GITE,,,,
3660,Maharashtra,Nanded,Bahujan Bharat Party,HARI PIRAJI BOYALE,,,,
3661,Maharashtra,Nanded,Independent,DNYANESHWAR RAOSAHEB KAPATE,,,,
3662,Maharashtra,Nanded,Independent,KALPANA SANJAY GAIKWAD,,,,
3663,Maharashtra,Nanded,Independent,BHASKAR CHAMPATRAO DOIFODE,,,,
3664,Maharashtra,Nanded,Indian National Congress,CHAVAN VASANTRAO BALWANTRAO,,,,
3665,Maharashtra,Nanded,Independent,LAXMAN NAGORAO PATIL,,,,
3666,Maharashtra,Nanded,Independent,KADAM SURAJ DEVENDRA,,,,
3667,Maharashtra,Nanded,Independent,JAGDISH LAXMAN POTRE,,,,
3668,Maharashtra,Nanded,Independent,MAHARUDRA KESHAV POPLAITKAR,,,,
3669,Maharashtra,Nanded,Independent,SAHEBRAO BHIVA GAJBHARE,,,,
3670,Maharashtra,Parbhani,Independent,PROF. DR. VILAS BANSIDHAR TANGADE,,,,
3671,Maharashtra,Parbhani,Maharashtra Vikas Aghadi,DASHARATH PRABHKAR RATHOD,,,,
3672,Maharashtra,Parbhani,Independent,SAYYD ABDUL SATTAR AJIJ,,,,
3673,Maharashtra,Parbhani,Jai Sewalal Bahujan Vikas Party,SHRIRAM BANSILAL JADHAV,,,,
3674,Maharashtra,Parbhani,Independent,SHAIKH SALEEM SHAIKH IBRAHIM,,,,
3675,Maharashtra,Parbhani,Independent,KARBHARI KUNDLIK MITHE,,,,
3676,Maharashtra,Parbhani,Independent,KISHORE RADHAKISHAN DHAGE,,,,
3677,Maharashtra,Parbhani,Independent,SAMIR GANESHRAO DUDHGAONKAR,,,,
3678,Maharashtra,Parbhani,Independent,PANJAB UTTAMRAO DAKH,,,,
3679,Maharashtra,Parbhani,Vanchit Bahujan  Aaghadi,PANJAB UTTAMRAO DAKH,,,,
3680,Maharashtra,Parbhani,Bahujan Bharat Party,DR. GOVARDHAN BHIWAJI KHANDAGALE,,,,
3681,Maharashtra,Parbhani,Bahujan Samaj Party,ALAMGIR MOHAMMAD KHAN,,,,
3682,Maharashtra,Parbhani,Independent,KISHORKUMAR PRAKASH SHINDE,,,,
3683,Maharashtra,Parbhani,Independent,SUBHASH DATTARAV JAVLE,,,,
3684,Maharashtra,Parbhani,Independent,BOBADE SAKHARAM PADEGAONKAR,,,,
3685,Maharashtra,Parbhani,Baliraja Party,KAILAS BALIRAM PAWAR (NAIK),,,,
3686,Maharashtra,Parbhani,Independent,DNYANESHWAR JAGANNATH DAHIBHATE,,,,
3687,Maharashtra,Parbhani,Independent,RAJABHAU SHESHRAO KAKDE,,,,
3688,Maharashtra,Parbhani,Communist Party of India,COMRADE RAJAN KSHIRSAGAR,,,,
3689,Maharashtra,Parbhani,Social Democratic Party Of India,SAYED IRSHAD ALI SAYYED LAYAKH ALI,,,,
3690,Maharashtra,Parbhani,Independent,RAJENDRA RAMDAS ATKAL,,,,
3691,Maharashtra,Parbhani,Independent,ARJUN DNYANOBA BHISE,,,,
3692,Maharashtra,Parbhani,Independent,KRUSHNA TRIMBAKRAO PAWAR,,,,
3693,Maharashtra,Parbhani,Independent,KAMBLE SHIVAJI DEVAJI,,,,
3694,Maharashtra,Parbhani,All India Majlis-E-Inquilab-E-Millat,SHAIKH SALEEM SHAIKH IBRAHIM,,,,
3695,Maharashtra,Parbhani,Independent,COMRADE GANPAT BHISE,,,,
3696,Maharashtra,Parbhani,Bahujan Mukti Party,ADV. VINOD CHHAGANRAO AMBHORE,,,,
3697,Maharashtra,Parbhani,Independent,VISHNUDAS SHIVAJI BHOSALE,,,,
3698,Maharashtra,Parbhani,Swarajya Shakti Sena,SANGEETA VYAKANTRAO GIRI,,,,
3699,Maharashtra,Parbhani,Independent,VIJAY ANNASAHEB THOMBARE,,,,
3700,Maharashtra,Parbhani,Independent,MUSTAFA MAINODDIN SHAIKH,,,,
3701,Maharashtra,Parbhani,ShivSena (Uddhav Balasaheb Thackeray),JADHAV SANJAY ( BANDU ) HARIBHAU,,,,
3702,Maharashtra,Parbhani,Rashtriya Samaj Paksha,JANKAR MAHADEV JAGANNATH,,,,
3703,Maharashtra,Parbhani,Independent,APPASAHEB OMKAR KADAM,,,,
3704,Maharashtra,Parbhani,Independent,GOVIND BHAIYYA RAMRAO DESHMUKH,,,,
3705,Maharashtra,Parbhani,Independent,ANIL MANIKRAO MUDGALKAR,,,,
3706,Maharashtra,Jalna,Akhil Bhartiya Parivar Party,MUKESH PRABHAT RATHOD,,,,
3707,Maharashtra,Jalna,Independent,BABASAHEB PATIL SHINDE,,,,
3708,Maharashtra,Jalna,Vanchit Bahujan  Aaghadi,BAKALE PRABHAKAR DEVGAN,,,,
3709,Maharashtra,Jalna,Samnak Janta Party,DIPAK BHIMRAO BORHADE,,,,
3710,Maharashtra,Jalna,Independent,DNYANESHWAR DAGDUJI NADE,,,,
3711,Maharashtra,Jalna,Independent,ADV. YOGESH DATTU GULLAPELLI,,,,
3712,Maharashtra,Jalna,Indian National Congress,KALYAN VAIJINATHRAO KALE,,,,
3713,Maharashtra,Jalna,Independent,MANOJ NEMINATH KOLTE,,,,
3714,Maharashtra,Jalna,Independent,RATAN ASARAM LANDGE,,,,
3715,Maharashtra,Jalna,Independent,TANAJI TUKARAM BHOJANE,,,,
3716,Maharashtra,Jalna,Independent,AJHAR ANWAR SAYYAD,,,,
3717,Maharashtra,Jalna,Independent,ABDUL RAFIQ ABDUL LATIF,,,,
3718,Maharashtra,Jalna,Bahujan Samaj Party,NIVRUTTI VISHWNATH BANSODE,,,,
3719,Maharashtra,Jalna,Bahujan Republican  Socialist Party,SHYAM RUSTUMRAO SHIRSATH,,,,
3720,Maharashtra,Jalna,Independent,KAMBLE MAROTI DASHARATH,,,,
3721,Maharashtra,Jalna,Independent,AHMAD RAHIM SAIKH BAGWAN,,,,
3722,Maharashtra,Jalna,Independent,SHAM PAWALS RUPEKAR,,,,
3723,Maharashtra,Jalna,Samata Party,BABASAHEB SANTUKRAO SHELKE,,,,
3724,Maharashtra,Jalna,Independent,VIKAS CHHAGAN LAHANE,,,,
3725,Maharashtra,Jalna,Bharatiya Janata Party,DANVE RAOSAHEB DADARAO,,,,
3726,Maharashtra,Jalna,Independent,CHABUKSWAR RAHUL NIRANJAN,,,,
3727,Maharashtra,Jalna,Independent,RAJENDRA NAMDEO MAGRE,,,,
3728,Maharashtra,Jalna,Hindustan Janta Party,BHAGWAN SAHEBRAO REGUDE,,,,
3729,Maharashtra,Jalna,Bharatheeya Jawan Kisan Party,DHANANJAY RUPRAOJI KAKDE (PATIL),,,,
3730,Maharashtra,Jalna,Independent,MANGESH SANJAY SABLE,,,,
3731,Maharashtra,Jalna,Independent,KADUBA MHATARBA INGLE,,,,
3732,Maharashtra,Aurangabad,Independent,HARSHWARDHAN DADA RAIBHANJI JADHAV,,,,
3733,Maharashtra,Aurangabad,Independent,BHANUDAS SON OF RAMDAS SARODE PATIL,,,,
3734,Maharashtra,Aurangabad,All India Majlis-E-Inquilab-E-Millat,ABDUL SAMAD BAGWAN,,,,
3735,Maharashtra,Aurangabad,Independent,SANDIP DADARAO MANKAR,,,,
3736,Maharashtra,Aurangabad,Independent,LATIF JABBAR KHAN,,,,
3737,Maharashtra,Aurangabad,Independent,PRASHANT PUNDALIKRAO AVHALE,,,,
3738,Maharashtra,Aurangabad,Independent,SANDIP DEVIDAS JADHAV,,,,
3739,Maharashtra,Aurangabad,Rashtriya Kisan Bahujan Party,GALPHADE ARJUN BHAGWANRAO,,,,
3740,Maharashtra,Aurangabad,Shiv Sena,BHUMARE SANDIPANRAO ASARAM,,,,
3741,Maharashtra,Aurangabad,Rashtriya Maratha Party,BHARAT PURUSHOTTAM KADAM,,,,
3742,Maharashtra,Aurangabad,Independent,AFSAR KHAN YASEEN KHA,,,,
3743,Maharashtra,Aurangabad,Vanchit Bahujan  Aaghadi,AFSAR KHAN YASEEN KHA,,,,
3744,Maharashtra,Aurangabad,Independent,IMTIAZ JALEEL SYED,,,,
3745,Maharashtra,Aurangabad,Independent,VISHAL UDDHAV NANDARKAR,,,,
3746,Maharashtra,Aurangabad,Independent,DR JIVAN BHAWLAL RAJPUT,,,,
3747,Maharashtra,Aurangabad,Independent,JAGANNATH KHANDERAO JADHAV J K JADHAV,,,,
3748,Maharashtra,Aurangabad,Independent,ABDUL AZIM ABDUL AZIZ SHAIKH,,,,
3749,Maharashtra,Aurangabad,Independent,MAANOJ VINAYAKRAO GHODKAY,,,,
3750,Maharashtra,Aurangabad,ShivSena (Uddhav Balasaheb Thackeray),CHANDRAKANT KHAIRE,,,,
3751,Maharashtra,Aurangabad,Independent,TRIBHUVAN MADHUKAR PADMAKAR,,,,
3752,Maharashtra,Aurangabad,Independent,MEENASING AVDHESHSING SING,,,,
3753,Maharashtra,Aurangabad,Peoples Party of India (Democratic),NARAYAN JADHAV,,,,
3754,Maharashtra,Aurangabad,Bahujan Samaj Party,SANJAY UTTAMRAO JAGTAP,,,,
3755,Maharashtra,Aurangabad,Bahujan Republican  Socialist Party,ARVIND KISANRAO KAMBLE,,,,
3756,Maharashtra,Aurangabad,All India Majlis-E-Ittehadul Muslimeen,IMTIAZ JALEEL SYED,,,,
3757,Maharashtra,Aurangabad,Independent,GHUGE NITIN PUNDLIK,,,,
3758,Maharashtra,Aurangabad,Independent,SANGITA GANESH JADHAV,,,,
3759,Maharashtra,Aurangabad,Republican Bahujan Sena,PANCHASHILA BABULAL JADHAV,,,,
3760,Maharashtra,Aurangabad,Prabuddha Republican Party,BHALERAO VASANT SAMBHAJI,,,,
3761,Maharashtra,Aurangabad,Ambedkarist Republican Party,PRATIKSHA PRASHANT CHAVAN,,,,
3762,Maharashtra,Aurangabad,Hindustan Janta Party,ADV B U GOSAWI,,,,
3763,Maharashtra,Aurangabad,Independent,SHAIKH KHAJA KISMATWALA KASIM KISMATWALA,,,,
3764,Maharashtra,Aurangabad,Independent,SURESH ASARAM FULARE,,,,
3765,Maharashtra,Aurangabad,Independent,SURENDRA DIGAMBAR GAJBHARE,,,,
3766,Maharashtra,Aurangabad,Bahujan Maha Party,MANISHA KHARAT,,,,
3767,Maharashtra,Aurangabad,Independent,SANJAY BHASKAR SHIRSAT,,,,
3768,Maharashtra,Aurangabad,Bharatiya Yuva Jan Ekta Party,RAVINDRA BHASKARRAO BODKHE,,,,
3769,Maharashtra,Aurangabad,Independent,JAGANNATH KISAN UGALE,,,,
3770,Maharashtra,Aurangabad,Independent,DEVIDAS RATAN KASBE,,,,
3771,Maharashtra,Dindori,Independent,JAGTAP DIPAK GANPAT,,,,
3772,Maharashtra,Dindori,Ambedkarite Party of India,KISHOR AMBADAS DAGALE,,,,
3773,Maharashtra,Dindori,Prabuddha Republican Party,GULAB MOHAN BARDE,,,,
3774,Maharashtra,Dindori,Vanchit Bahujan  Aaghadi,DHOMSE MALATI RAHUL,,,,
3775,Maharashtra,Dindori,Independent,ANIL GAWALIRAM BARDE,,,,
3776,Maharashtra,Dindori,Bahujan Samaj Party,TULSHIRAM CHIMAN KHOTARE,,,,
3777,Maharashtra,Dindori,Bharatiya Janata Party,DR. BHARATI PRAVIN PAWAR,,,,
3778,Maharashtra,Dindori,Bahujan Republican  Socialist Party,BHARAT ARUN PAWAR,,,,
3779,Maharashtra,Dindori,Independent,BABU SADU BHAGRE (SIR),,,,
3780,Maharashtra,Dindori,Nationalist Congress Party â Sharadchandra Pawar,BHASKAR MURLIDHAR BHAGARE,,,,
3781,Maharashtra,Nashik,Independent,SACHINRAJE DATTATREYA DEORE,,,,
3782,Maharashtra,Nashik,Independent,KOLAPPA HANUMANT DHOTRE,,,,
3783,Maharashtra,Nashik,Independent,SUSHAMA ABHIJIT GORANE,,,,
3784,Maharashtra,Nashik,Independent,SOPAN NIVRUTTI SOMWANSHI,,,,
3785,Maharashtra,Nashik,Independent,GANESH BALASAHEB BORASTE,,,,
3786,Maharashtra,Nashik,Independent,CHANDRABHAN AABAJI PURKAR,,,,
3787,Maharashtra,Nashik,Indian Peoples Adhikar Party,BHAGYASHRI NITIN ADSUL,,,,
3788,Maharashtra,Nashik,Bhartiya Asmita Party,YASHWANT VALU PARDHI,,,,
3789,Maharashtra,Nashik,Independent,TILOTTAMA SUNIL JAGTAP,,,,
3790,Maharashtra,Nashik,Rashtriya Kisan Bahujan Party,AMOL SAMPATRAO KAMBLE,,,,
3791,Maharashtra,Nashik,Independent,SHANTIGIRIJI MAUNGIRIJI MAHARAJ,,,,
3792,Maharashtra,Nashik,Vanchit Bahujan  Aaghadi,KARAN PANDHARINATH GAIKAR,,,,
3793,Maharashtra,Nashik,Bahujan Samaj Party,ARUN MADHUKAR KALE,,,,
3794,Maharashtra,Nashik,Independent,SIDDHESHWARANAND SARASWATI,,,,
3795,Maharashtra,Nashik,Independent,DEEPAK GAIKWAD,,,,
3796,Maharashtra,Nashik,Independent,JITENDRA NARESH BHABHE (JITENDRA BHAVE),,,,
3797,Maharashtra,Nashik,Independent,ARIF USMAN MANSURI,,,,
3798,Maharashtra,Nashik,Dharmarajya Paksha,VAMAN MAHADEV SANGALE,,,,
3799,Maharashtra,Nashik,Independent,CHANDRAKANT KESHAVRAO THAKUR,,,,
3800,Maharashtra,Nashik,Independent,SUDHIR SHRIDHAR DESHMUKH,,,,
3801,Maharashtra,Nashik,Independent,DHANAJI ASHOK TOPALE,,,,
3802,Maharashtra,Nashik,Shiv Sena,GODSE HEMANT TUKARAM,,,,
3803,Maharashtra,Nashik,Independent,KANOJE PRAKASH GIRDHARI,,,,
3804,Maharashtra,Nashik,Bahujan Republican  Socialist Party,ADV. ZUNJAR MHASUJI AVHAD,,,,
3805,Maharashtra,Nashik,Prabuddha Republican Party,DARSHANA AMOL MEDHE,,,,
3806,Maharashtra,Nashik,Ambedkarite Party of India,KANTILAL KISAN JADHAV,,,,
3807,Maharashtra,Nashik,Aam Janta Party (India),KAILASH MARUTI CHAVAN,,,,
3808,Maharashtra,Nashik,Sainik Samaj Party,JAYSHRI MAHENDRA PATIL,,,,
3809,Maharashtra,Nashik,Dalit Soshit Pichhara Varg  Adhikar Dal,KAMLAKAR BALASAHEB GAIKWAD,,,,
3810,Maharashtra,Nashik,ShivSena (Uddhav Balasaheb Thackeray),RAJABHAU (PARAG) PRAKASH WAJE,,,,
3811,Maharashtra,Nashik,Vanchit Bahujan  Aaghadi,DEVIDAS PIRAJI SARKATE,,,,
3812,Maharashtra,Nashik,Independent,DEVIDAS PIRAJI SARKATE,,,,
3813,Maharashtra,Palghar,Bharatiya Janata Party,DR. HEMANT VISHNU SAVARA,,,,
3814,Maharashtra,Palghar,Bahujan Vikas Aaghadi,RAJESH RAGHUNATH PATIL,,,,
3815,Maharashtra,Palghar,Independent,AMAR KISAN KAVALE,,,,
3816,Maharashtra,Palghar,Bahujan Samaj Party,BHARAT SAMJI VANGA,,,,
3817,Maharashtra,Palghar,ShivSena (Uddhav Balasaheb Thackeray),BHARTI BHARAT KAMDI,,,,
3818,Maharashtra,Palghar,Marxist Leninist Party of India (Red Flag),COMRADE RAHUL MEDHA,,,,
3819,Maharashtra,Palghar,Independent,DINKAR DATTATRAYA WADHAN,,,,
3820,Maharashtra,Palghar,Bharat Adivasi Party,MOHAN BARAKU GUHE,,,,
3821,Maharashtra,Palghar,Vanchit Bahujan  Aaghadi,VIJAYA RAJKUMAR MHATRE,,,,
3822,Maharashtra,Palghar,Independent,MEENA KISHOR BHAD,,,,
3823,Maharashtra,Bhiwandi,Independent,RAHUL ASHOK KATHOLE,,,,
3824,Maharashtra,Bhiwandi,Independent,CHANDRAKANT RAMBHAJI MOTE,,,,
3825,Maharashtra,Bhiwandi,Bahujan Samaj Party,MUMATAZ ABDULSATTAR ANSARI,,,,
3826,Maharashtra,Bhiwandi,All India Majlis-E-Ittehadul Muslimeen,KHAN MOHD AKARAM ABDUL HANAN,,,,
3827,Maharashtra,Bhiwandi,Independent,SURESH SITARAM MHATRE,,,,
3828,Maharashtra,Bhiwandi,Apni Prajahit Party,SURESH PANDAGALE,,,,
3829,Maharashtra,Bhiwandi,Bharatiya Janata Party,KAPIL MORESHWAR PATIL,,,,
3830,Maharashtra,Bhiwandi,Independent,MILIND KASHINATH KAMBLE,,,,
3831,Maharashtra,Bhiwandi,Peoples Party of India (Democratic),MOHD. KALEEM ANSARI,,,,
3832,Maharashtra,Bhiwandi,Independent,AAPPA - VISHAL VIJAY MORE,,,,
3833,Maharashtra,Bhiwandi,Bhartiya Manavta Party,SAIFAN CHAND PATHAN,,,,
3834,Maharashtra,Bhiwandi,Independent,HARSHAD RAMESH MHATRE,,,,
3835,Maharashtra,Bhiwandi,Independent,MUTKIRI SHANKAR NAGESH,,,,
3836,Maharashtra,Bhiwandi,Independent,WASEEM TUFAIL SIDDIQUI,,,,
3837,Maharashtra,Bhiwandi,Independent,RANJANA RAVI TRIBHUWAN,,,,
3838,Maharashtra,Bhiwandi,Independent,JAHID MURABTAR ANSARI,,,,
3839,Maharashtra,Bhiwandi,Bahujan Maha Party,DANISH EZAZ AH. SHAIKH,,,,
3840,Maharashtra,Bhiwandi,Independent,SONALI ASHOK GANGAWANE,,,,
3841,Maharashtra,Bhiwandi,Nationalist Congress Party â Sharadchandra Pawar,BALYA MAMA - SURESH GOPINATH MHATRE,,,,
3842,Maharashtra,Bhiwandi,Independent,KAPIL JAYHIND PATIL,,,,
3843,Maharashtra,Bhiwandi,Independent,MANOJ GOVAR TURE,,,,
3844,Maharashtra,Bhiwandi,Independent,MANISHA SANTOSH GONDHALE,,,,
3845,Maharashtra,Bhiwandi,New Rashtriya Samaj Party,KANCHAN VINAYAK VAKHARE,,,,
3846,Maharashtra,Bhiwandi,Independent,PROF. AMEERUL HASAN SAYYED,,,,
3847,Maharashtra,Bhiwandi,Independent,TARA PINTYA WAGHE,,,,
3848,Maharashtra,Bhiwandi,Independent,NILESH BHAGWAN SAMBARE,,,,
3849,Maharashtra,Bhiwandi,Sanyukt Bharat Paksh,ASHOK BHIKU BAHADARE,,,,
3850,Maharashtra,Kalyan,Independent,AMRISH RAJ MORAJKAR,,,,
3851,Maharashtra,Kalyan,Rashtriya Maratha Party,HINDURAO DADU PATIL,,,,
3852,Maharashtra,Kalyan,Bhim Sena,SHRIDHAR NARAYAN SALVE,,,,
