_id,State,Constituency,Party,Candidate Name,,,,
84,Andhra Pradesh,Visakhapatnam,Independent,CHAPPIDI RAMU,,,,
85,Andhra Pradesh,Visakhapatnam,Independent,M.G.M. KHAN,,,,
86,Andhra Pradesh,Visakhapatnam,Dalita Bahujana Party,BANNA. RAMESH,,,,
87,Andhra Pradesh,Visakhapatnam,Independent,SONDI KRISHNA.,,,,
88,Andhra Pradesh,Anakapalle,Independent,JUNNURI J SRINIVAS,,,,
89,Andhra Pradesh,Anakapalle,Independent,NAGESWARA RAO PETLA,,,,
90,Andhra Pradesh,Anakapalle,Bharatiya Janata Party,C.M.RAMESH,,,,
91,Andhra Pradesh,Anakapalle,Bharatha Chaitanya Yuvajana Party,APPALA RAJU NAMMI,,,,
92,Andhra Pradesh,Anakapalle,Bahujan Samaj Party,PALAKA SREERAMA MURTHY,,,,
93,Andhra Pradesh,Anakapalle,Yuvajana Sramika Rythu Congress Party,BUDI MUTYALA NAIDU,,,,
94,Andhra Pradesh,Anakapalle,Dalita Bahujana Party,KRISHNA SWAROOP VADLAMURI,,,,
95,Andhra Pradesh,Anakapalle,Independent,APPALANAIDU TUMMAGUNTA,,,,
96,Andhra Pradesh,Anakapalle,Independent,DR. THUMMAPALA HARI  SHANKAR,,,,
97,Andhra Pradesh,Anakapalle,Indian National Congress,VEGI VENKATESH,,,,
98,Andhra Pradesh,Anakapalle,Independent,GARA SURYA RAO,,,,
99,Andhra Pradesh,Anakapalle,Pyramid Party of India,VIJAYA LAKSHMI KARRI,,,,
100,Andhra Pradesh,Anakapalle,Independent,VANKAYALA RAMACHANDRA RAO,,,,
101,Andhra Pradesh,Anakapalle,Independent,LOVARAJU SIDDHA,,,,
102,Andhra Pradesh,Anakapalle,Jai Bharat National Party,ADARI SARAT CHANDRA,,,,
103,Andhra Pradesh,Kakinada,Jaibhim Rao Bharat Party,YENUGUPALLI KRISHNA,,,,
104,Andhra Pradesh,Kakinada,Janasena Party,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),,,,
105,Andhra Pradesh,Kakinada,Independent,SUDHA VEERA GANESH,,,,
106,Andhra Pradesh,Kakinada,Bharatha Chaitanya Yuvajana Party,DR ANUSHA YADAV,,,,
107,Andhra Pradesh,Kakinada,Bahujan Samaj Party,KANDREGULA NARASIMHAM,,,,
108,Andhra Pradesh,Kakinada,Independent,NEELAKANTAM DONAM,,,,
109,Andhra Pradesh,Kakinada,Yuvajana Sramika Rythu Congress Party,CHALAMALASETTY SUNIL,,,,
110,Andhra Pradesh,Kakinada,Navarang Congress Party,UDAY,,,,
111,Andhra Pradesh,Kakinada,Communist Party of India  (Marxist-Leninist)  (Liberation),BUGATHA BANGARRAO,,,,
112,Andhra Pradesh,Kakinada,Jatiya Jana Sena Party,TANGELLA SRINIVASU,,,,
113,Andhra Pradesh,Kakinada,Indian National Congress,MALLIPUDI MANGAPATI PALLAM RAJU,,,,
114,Andhra Pradesh,Kakinada,Republican Party of India (A),YEDIDA VARA PRASAD KUMAR,,,,
115,Andhra Pradesh,Kakinada,Independent,BODDETI APPARAO,,,,
116,Andhra Pradesh,Kakinada,Independent,PASUPULETI S.V.S.BHUSHANAM,,,,
117,Andhra Pradesh,Kakinada,Independent,BHAVANI SANKAR PRASAD MERLA,,,,
118,Andhra Pradesh,Amalapuram (SC),Independent,VADDI LALITH KUMAR,,,,
119,Andhra Pradesh,Amalapuram (SC),Peoples Party of India (Democratic),PATHURI RAMESH,,,,
120,Andhra Pradesh,Amalapuram (SC),Telugu Desam,G M HARISH (BALAYOGI),,,,
121,Andhra Pradesh,Amalapuram (SC),Republican Party of India (A),KAPA KALYAN,,,,
122,Andhra Pradesh,Amalapuram (SC),Indian National Congress,GOUTHAM JANGA,,,,
123,Andhra Pradesh,Amalapuram (SC),Yuvajana Sramika Rythu Congress Party,RAPAKA VARAPRASADA RAO,,,,
124,Andhra Pradesh,Amalapuram (SC),Pyramid Party of India,MATHA KRISHNA,,,,
125,Andhra Pradesh,Amalapuram (SC),Jaibhim Rao Bharat Party,YALANGI RAMESH,,,,
126,Andhra Pradesh,Amalapuram (SC),Independent,MAKEY DAVY PRASAD,,,,
127,Andhra Pradesh,Amalapuram (SC),Jatiya Jana Sena Party,RAMESH JILLELLA,,,,
128,Andhra Pradesh,Amalapuram (SC),Republican Party of India,GIDDI JNANA PRAKASA RAO,,,,
129,Andhra Pradesh,Amalapuram (SC),Telugu Nava Garjana Party,KATRU NAGA BABU,,,,
130,Andhra Pradesh,Amalapuram (SC),Independent,GUDE VENKATESWARULU,,,,
131,Andhra Pradesh,Amalapuram (SC),Bahujan Samaj Party,DORABABU YALLA,,,,
132,Andhra Pradesh,Amalapuram (SC),Liberation Congress Party,YADLA RAJESH,,,,
133,Andhra Pradesh,Rajahmundry,Independent,JALLI BALA NAVEENA,,,,
134,Andhra Pradesh,Rajahmundry,Indian National Congress,GIDUGU RUDRARAJU,,,,
135,Andhra Pradesh,Rajahmundry,Independent,BOMMANABOINA VSR MURTHY,,,,
136,Andhra Pradesh,Rajahmundry,Jai Bharat National Party,MOHANARAO SINGULURI,,,,
137,Andhra Pradesh,Rajahmundry,Independent,SALOPANTULA RAGHAVENDRA RAO,,,,
138,Andhra Pradesh,Rajahmundry,Bharatiya Janata Party,DAGGUBATI PURANDHESHWARI,,,,
139,Andhra Pradesh,Rajahmundry,Yuvajana Sramika Rythu Congress Party,DR. GUDURI SRINIVAS,,,,
140,Andhra Pradesh,Rajahmundry,Navarang Congress Party,BATTULA BALARAMAKRISHNA,,,,
141,Andhra Pradesh,Rajahmundry,Independent,BHANU CHANDAR KURUVELLA,,,,
142,Andhra Pradesh,Rajahmundry,Bahujan Samaj Party,GANESWARA RAO PARAMATA,,,,
143,Andhra Pradesh,Rajahmundry,Independent,DR. MEDISI RATNARAO ALIAS VINAY,,,,
144,Andhra Pradesh,Rajahmundry,Rashtriya Praja Congress  (Secular),MEDA SRINIVASA RAO,,,,
145,Andhra Pradesh,Narsapuram,Bahujan Samaj Party,SIRRA RAJU,,,,
146,Andhra Pradesh,Narsapuram,Independent,NALLI RAJESH,,,,
147,Andhra Pradesh,Narsapuram,Independent,ADDANKI DORABABU,,,,
148,Andhra Pradesh,Narsapuram,Independent,ADABALA SIVA,,,,
149,Andhra Pradesh,Narsapuram,Independent,ADINARAYANA DUPPANAPUDI,,,,
150,Andhra Pradesh,Narsapuram,Independent,PRASANNA KUMAR UNDURTHI,,,,
151,Andhra Pradesh,Narsapuram,Indian National Congress,K.B.R.NAIDU,,,,
152,Andhra Pradesh,Narsapuram,Independent,BALAGAM NAYAKAR,,,,
